data;temp;
2022-05-30;13.9;
2022-05-31;9.3;
2022-06-01;11.3;
2022-06-02;10.3;
2022-06-03;9;
2022-06-04;12.5;
2022-06-05;16.5;
2022-06-06;16.6;
2022-06-07;15.3;
2022-06-08;15.3;
2022-06-09;13.8;
2022-06-10;13.4;
2022-06-11;6.1;
2022-06-12;6.3;
2022-06-13;8.8;
2022-06-14;11.4;
2022-06-15;13.2;
2022-06-16;18.9;
2022-06-17;17.9;
2022-06-18;9.1;
2022-06-19;9.5;
2022-06-20;14.4;
2022-06-21;18.1;
2022-06-22;18.5;
2022-06-23;18.2;
2022-06-24;19.4;
2022-06-25;16.5;
2022-06-26;14;
2022-06-27;17.2;
2022-06-28;17.8;
2022-06-29;11.2;
2022-06-30;10.5;
2022-07-01;14.4;
2022-07-02;20.4;
2022-07-03;22.5;
2022-07-04;22.4;
2022-07-05;21.1;
2022-07-06;20.5;
2022-07-07;20.2;
2022-07-08;20.5;
2022-07-09;20.8;
2022-07-10;20.5;
2022-07-11;22;
2022-07-12;13.1;
2022-07-13;11.6;
2022-07-14;16.7;
2022-07-15;21.6;
2022-07-16;19.8;
2022-07-17;8.1;
2022-07-18;10.6;
2022-07-19;15.8;
2022-07-20;18.5;
2022-07-21;20.4;
2022-07-22;21.1;
2022-07-23;21.5;
2022-07-24;21.2;
2022-07-25;20.2;
2022-07-26;20.3;
2022-07-27;19.9;
2022-07-28;20.7;
2022-07-29;10.3;
2022-07-30;10.3;
2022-07-31;13.3;
2022-08-01;16.6;
2022-08-02;20.4;
2022-08-03;21.5;
2022-08-04;18.8;
2022-08-05;13;
2022-08-06;10.6;
2022-08-07;13.4;
2022-08-08;15.1;
2022-08-09;13.7;
2022-08-10;10;
2022-08-11;11.2;
2022-08-12;13.9;
2022-08-13;16.5;
2022-08-14;17.2;
2022-08-15;22.9;
2022-08-16;17.8;
2022-08-17;16.7;
2022-08-18;12.2;
2022-08-19;6.5;
2022-08-20;8.9;
2022-08-21;12.4;
2022-08-22;14.6;
2022-08-23;16.7;
2022-08-24;17.9;
2022-08-25;18.9;
2022-08-26;19.5;
2022-08-27;21.5;
2022-08-28;16.3;
2022-08-29;8.3;
2022-08-30;11.9;
2022-08-31;14.1;
2022-09-01;19.6;
2022-09-02;16.5;
2022-09-03;13.2;
2022-09-04;10;
2022-09-05;13.3;
2022-09-06;14.6;
2022-09-07;15.8;
2022-09-08;21.4;
2022-09-09;24;
2022-09-10;13;
2022-09-11;13.2;
2022-09-12;15.8;
2022-09-13;16.6;
2022-09-14;14.4;
2022-09-15;15.1;
2022-09-16;16.2;
2022-09-17;16.3;
2022-09-18;16.8;
2022-09-19;14.9;
2022-09-20;16.8;
2022-09-21;16.1;
2022-09-22;14.5;
2022-09-23;10.1;
2022-09-24;12.8;
2022-09-25;14.8;
2022-09-26;16.1;
2022-09-27;16.8;
2022-09-28;15.3;
2022-09-29;13.5;
2022-09-30;15.4;
2022-10-01;17.9;
2022-10-02;18.1;
2022-10-03;17.4;
2022-10-04;17.9;
2022-10-05;20.3;
2022-10-06;18.7;
2022-10-07;14.6;
2022-10-08;17;
2022-10-09;16.1;
2022-10-10;12.9;
2022-10-11;15.7;
2022-10-12;14.8;
2022-10-13;18.2;
2022-10-14;18.3;
2022-10-15;19.6;
2022-10-16;19.5;
2022-10-17;19.7;
2022-10-18;17.7;
2022-10-19;20.6;
2022-10-20;17.7;
2022-10-21;17.6;
2022-10-22;18.3;
2022-10-23;20.1;
2022-10-24;20.6;
2022-10-25;22.3;
2022-10-26;24.4;
2022-10-27;19.8;
2022-10-28;22.2;
2022-10-29;19.3;
2022-10-30;18.8;
2022-10-31;15.7;
2022-11-01;10.5;
2022-11-02;12.1;
2022-11-03;15.7;
2022-11-04;17.3;
2022-11-05;null;
2022-11-06;18.1;
2022-11-07;17.4;
2022-11-08;17.8;
2022-11-09;19.1;
2022-11-10;21.6;
2022-11-11;20.1;
2022-11-12;20.5;
2022-11-13;18.8;
2022-11-14;20.7;
2022-11-15;19.2;
2022-11-16;21.3;
2022-11-17;22.2;
2022-11-18;23;
2022-11-19;23.8;
2022-11-20;23.9;
2022-11-21;22.8;
2022-11-22;20.6;
2022-11-23;21;
2022-11-24;22.7;
2022-11-25;23.1;
2022-11-26;23;
2022-11-27;22.9;
2022-11-28;22;
2022-11-29;21.9;
2022-11-30;21.7;
2022-12-01;22.7;
2022-12-02;24.1;
2022-12-03;23.7;
2022-12-04;24.3;
2022-12-05;23.6;
2022-12-06;26.3;
2022-12-07;27.2;
2022-12-08;27.7;
2022-12-09;26.8;
2022-12-10;25.8;
2022-12-11;25.8;
2022-12-12;24.1;
2022-12-13;22.5;
2022-12-14;22.1;
2022-12-15;23.8;
2022-12-16;23.6;
2022-12-17;22.4;
2022-12-18;19.9;
2022-12-19;20.4;
2022-12-20;21.4;
2022-12-21;22.4;
2022-12-22;22.8;
2022-12-23;23.1;
2022-12-24;24;
2022-12-25;23;
2022-12-26;22.9;
2022-12-27;23.1;
2022-12-28;20.7;
2022-12-29;21.9;
2022-12-30;24.2;
2022-12-31;26;
2023-01-01;27.5;
2023-01-02;23.5;
2023-01-03;21.7;
2023-01-04;null;
2023-01-05;22.9;
2023-01-06;22.4;
2023-01-07;21.9;
2023-01-08;22.3;
2023-01-09;23.3;
2023-01-10;23.2;
2023-01-11;23.1;
2023-01-12;24;
2023-01-13;21.1;
2023-01-14;21;
2023-01-15;22.8;
2023-01-16;24.1;
2023-01-17;24;
2023-01-18;23.5;
2023-01-19;23.8;
2023-01-20;25.1;
2023-01-21;24.8;
2023-01-22;23.3;
2023-01-23;23.9;
2023-01-24;24;
2023-01-25;27;
2023-01-26;27.1;
2023-01-27;26.6;
2023-01-28;27;
2023-01-29;24.4;
2023-01-30;23.3;
2023-01-31;23.6;
2023-02-01;25.2;
2023-02-02;25;
2023-02-03;22.3;
